Kaggle_Classification,Tweet,Original_Manual_Sentiment,Sentiment_v2
Positive,I paid respect to my dad today on #world cup 2022 day. He's the reason why I love the sport so much. ,Strongly Positive,Positive
Positive,"That was a match
#Qatar2022 #world cup 2022 #FIFA world cup",Strongly Positive,Positive
Positive,"#world cup 2022 is off to a wild start with Ecuador's massive W against the home team

Who are you rooting for?

This may be a controversial Cup, but there's no denying the positivity of people around the world circling up around a shared passion",Strongly Positive,Positive
Positive,"Wow! I am watching FIFA world cup 2022 matches on Tubi. It's all FREE! 
@Tubi #Qatar world cup 2022 #FIFA world cup #Qatar 2022 #FIFA world cup 2022 #FIFA world cupQatar2022 #world cup 2022",Strongly Positive,Positive
Positive,Was lucky enough to mint one of the #world cup 2022 jerseys in the @BVDCAT_ market drop! Reppin Ecuador who did you get #BVDCƒÉT family?!?,Positive,Positive
Positive,"World Cup Giveaway

We are giving away $50 BUSD to celebrate the #world cup 2022

Rules:
1. Follow
2. Like/RT
3. Tag 3 friends

Winner in 48 hours

$BIRB #Crypto #give away #win #prize #give away alert #Crypto Give away #Free #Give aways #BSC Gems Alert #BSC Gem #BIRB ARMY",Neutral,Neutral
Positive,"Okay guys, that's it for today, first day is done.

Tomorrow I will arrive with a Bet Builder for the England v Iran and maybe the others too - it depends on the statistics & resources available to me.

See ya tomorrow and good night!

#FIFA world cup 2022 | #world cup 2022",Neutral,Neutral
Positive,Man Of The Match : Qatar vs Ecuador; Enner Valencia (Ecuador) What an amazing brace from him. #FIFA world cup #FIFA world cup Qatar2022 #Qatar world cup #world cup 2022 #world cup #QATECU #QATvsECU #Qatar Ecuador #Qatar vs Ecuador,Strongly Positive,Positive
Positive,"In solidarity with #Palestine, a #Moroccan youth raises the #Palestinian flag at World Cup 2022 in #Qatar
#world cup 2022
#Raise Palestine Flag",Positive,Positive
Positive,The World Cup is upon us! If you didn't get tickets and didn't fly out far away to Qatar like a lucky few where is your favorite bar to catch the action in #Reno and northern Nevada? #barsofreno #renosoccer #world cup 2022,Neutral,Neutral
Positive,"Can't quit Football. Both kinds.

#NFL #world cup 2022",Positive,Positive
Positive,"I've just watched your Prediction video so thought I'd show off my predictions as well.

Turns out I don't have as much faith in England as you but think my final would be FRUITYYYY #world cup 2022",Neutral,Neutral
Positive,an ad is just as good #Cristiano Ronaldo #Qatar2022 #world cup 2022 #Portugal,Neutral,Neutral
Positive,"World Cup- We are looking forward to see the start of the World Cup this week, as a school we will be supporting Wales and appreciating the diversity of our team.  Come on Wales! #Together Stronger #world cup 2022",Strongly Positive,Positive
Positive,Think Argentina are really underrated. An abundance of talent in basically every position and a good mix of youth and experience #world cup 2022,Positive,Positive
Positive,South Africa 2010 world Cup is still the best world cup that happened. We set the bar to high. Prove me wrong. #FIFA world cup #world cup 2022 #Qatar2022 #southafrica2010,Strongly Positive,Positive
Positive,Humanity #world cup 2022 #Qatar2022 #Morgan Freeman,Neutral,Neutral
Positive,This by far is probably the best Twitter exchange I've seen as far as the #world cup 2022 goes. #Qatar 2022 #Qatar,Strongly Positive,Positive
Positive,"LOADED TOON REVIEW IS BACK

@Loaded Mag NUFC tonight host @TheToonReview to discuss all things #NUFC & #world cup 2022 

Come and join the chat live & get your questions in for us - Also out for a new, fun segment on tonight's show",Neutral,Neutral
Positive,"K A N E

Nearly time for @England to get #Qatar world cup 2022 under way!

#England #kane #WCQatar22 #world cup 2022 #SmSports ",Neutral,Neutral
Positive,"a Seattle Sounders and Seattle Reign blog, highlighted the video of our teachers wishing Jordan Morris good luck at the 2022 World Cup. ",Positive,Positive
Positive,"I want to present to you my vision of what @Hasbulla_NFT  would look like if he were in the @Earpitz NFT universe during such a wonderful event as the @FIFA world cup 
 
#Earpitz #Hasbulla #world cup 2022",Positive,Positive
Positive,"Even Qatari's are not interested in watching their own country play, despite first ever participation and host country. What a football culture they have. Well done FIFA.
#world cup 2022 #Qatar world cup 2022",Negative,Negative
Positive,"England Football men's team taking the knee is absolutely the right message at the #world cup 2022 
It shows that young people are leading the world to a better place where everyone can be better to one another.",Strongly Positive,Positive
Positive,"Ravens v Panthers: 1st 6 possessions of game lead to 6 punts.
Credit these selfless #NFL teams for paying proper tribute to the kick off of #world cup 2022 in Qatar #FOOTball",Strongly Positive,Positive
Positive,"Google Doodle celebrates FIFA World Cup; you can play online too.

#world cup 2022 
#google doodle today
#google pixel 7",Neutral,Neutral
Positive,Let's go! #usa #fifa #england #netherlands #fifa 2022 #world cup 2022 #qatar,Positive,Positive
Positive,Got my parlay so that's one good thing about #world cup 2022,Positive,Positive
Positive,"#world cup 2022
#Qatar vs Ecuador 0-2 Congratulations #Ecuador",Strongly Positive,Positive
Positive,"Wooo, you really can't miss to have a glance of the grand opening.
#world cup 2022
",Strongly Positive,Positive
Positive,"Ecuador players are in celebration mode after scoring their side's second goal during the World Cup, group A soccer match against hosts Qatar at the Al Bayt Stadium in Al Khor, on Sunday. 

 Ecuador won the match 2-0.

#world cup 2022 #world cup #Hot Spot Qatar #FIFA world cup #OSports",Strongly Positive,Positive
Positive,How would you feel if you paid a fortune for this experience? Is there a twitter-verse where fans are having fun? #world cup 2022,Negative,Negative
Positive,"Also, the #world cup 2022 is upon us!
Go #usamnt (yeah I know the below is zidane but he's awesome)",Strongly Positive,Positive
Positive,"Best world cup ever!
#world cup 2022",Strongly Positive,Positive
Positive,"Ecuador unfazed by the hosts - Very young, energetic and disciplined. 

6-1 vs Colombia, 
4-2 win aganst Tabarez's Uruguay 
1-1 against Brazil and Argentina (Both qualified). 

Can prove to be a handful. 

#world cup #world cup 2022 #Ecuador",Strongly Positive,Positive
Positive,"everyone's opinion was that Qatar would not lose at home, but the betting barons put it in the opposite corner by giving good odds, it was a good tactic
#world cup Qatar2022 #world cup 2022 #world cup",Positive,Positive
Positive,"Enner Valencia's Instagram account has gained 122,000 followers in the last hour and continues to increase.

#Qatar world cup 2022 #world cup 2022 ",Positive,Positive
Positive,"I have been waiting all year for this. 

#world cup 2022 #FIFA world cup #FIFA world cup 2022 #ECU #Qat",Positive,Positive
Positive,"Ecuador won the match, but there's more to come!

Three match games tomorrow.

(Disclaimer: I don't own the logos on these jerseys)
#Bomberman #Soccer #football #world cup 2022 ",Positive,Positive
Positive,"Good to see money can't buy everything. 
A win for #Ecuador. 
Good #world cup start (in terms of football). 

#FIFA world cup #world cup 2022",Strongly Positive,Positive
Positive,"Hopefully, this tweet continues to age well
Congrats to Ecuador for winning the World Cup's opener!
#world cup #world cup 2022 #Qatar2022 ",Strongly Positive,Positive
Positive,I give the props to Qatar. They played much better in the second half. But the difference in quality/experience between the sides was evident. #Qatar world cup 2022 #world cup 2022 #Qatar vs Ecuador,Strongly Positive,Positive
Positive,"Ghana is winning this year's world Cup. 
This is not a prediction, it's a spoiler

#WC22
#world cup 2022
#Qatar22",Positive,Positive
Positive,This one's for you #ecu #world cup 2022 #Qatar2022 #Tequilla,Positive,Positive
Positive,That would have been a wonder goal if it had gone in #QATECU #world cup #world cup 2022 #Qatar2022,Neutral,Neutral
Positive,"GOAT Leo Messi in today's training with Argentina National Team

#FIFA world cup #Qatar world cup 2022 #world cup 2022",Strongly Positive,Positive
Positive,"You Know What Bae ..  U are the best love U are The Besttttt I'M So Proud Of My  KING Only U Can Do it #JUNGKOOK #JUNGKOOKxFIFA #FIFA world cup 
#world cup 2022 @BTS_twt @bts_bighit https://t.co/PudEftC9KI",Strongly Positive,Positive
Positive,"Enjoying the #world cup 2022 so far, just wondering who has a worse human rights record, Qatar or my government... gonna be close!",Positive,Positive
Positive,Not missing a game of the #world cup 2022,Positive,Positive
Positive,"#PICTURES: The much anticipated #world cup 2022 tournament kicked off in #Qatar on Sunday with eye-catching folkloric shows, blends of music and magnificent lighting at Al-Bait Stadium.",Positive,Positive
Positive,A lot of people don't know the actual offside rule in football and it shows happy first day of #world cup 2022 to all the once-in-4-years fans,Positive,Positive
Positive,The day has come #world cup 2022 #qatar 2022,Neutral,Neutral
Positive,I cannot freaking wait! #USMNT #FIFA world cup #world cup #world cup 2022 #futbol #soccer,Strongly Positive,Positive
Positive,"World Cup fever is officially here. 

We're tuning in to watch the world's best players compete for glory! Who do you think will win the World Cup?
#world cup 2022",Strongly Positive,Positive
Positive,The hosts of a World Cup have never not won a game in the tournament. Think it's safe to say there's a very high possibility it will happen this year in Qatar #world cup 2022 ,Positive,Positive
Positive,"The passionate heart throbs with emotion with the first game of the World Cup.

Enjoy and make your prediction and have a chance to win a big prize with BitForex.


#world cupQatar2022 #world cup 2022 #Giveaways ",Positive,Positive
Positive,At least #Bafana Bafana scored a notorious goal in our first match!  #world cup 2022,Positive,Positive
Positive,I'm gonna be ok with the VAR as long as it is applied to everyone who is playing in this #world cup 2022! #Ecuador vs Qatar,Positive,Positive
Positive,"Pretty good day today. NFL Football, #world cup 2022, and @TheWalkingDead series finale!",Positive,Positive
Positive,"FC Barcelona's Alejandro Balde is excited to be in the Spain squad for #world cup 2022.

""I still don't believe it. That my first call is to go directly to a World Cup I am still pinching myself. I hope we take the cup home with us.""",Positive,Positive
Positive,"First match of the FIFA World Cup 2022 is sensational

#world cup 2022 #fifa #FIFA world cup",Strongly Positive,Positive
Positive,World Cup kicked off with a BANG Ecuador looking healthy #world cup 2022 #football #FIFA world cup 2022 #ecuador #EcuadorvsQatar,Positive,Positive
Positive,They renowened footballing nation #Qatar are showing us why they are the home nation. #world cup 2022,Positive,Positive
Positive,"My birth country Ecuador is ahead 2-0 against Qatar and their home field advantage. Go!!! 

#world cup 2022",Positive,Positive
Positive,"Fun fact, this is the first time in World Cup history that the first half of the inaugural match ends with the hosts being 2-0 down! #world cup #world cup 2022 #Mundial 2022 #Mundial Qatar2022",Neutral,Neutral
Positive,"Jhegson Mendez has completed the most passes in the game with 34 and keeps things ticking in the middle. No aggression, just keeping things calm.

He got the moves like Jheg-er too.  #world cup 2022",Negative,Negative
Positive,Just loving the football. I hope Qatar don't get a single goal at the #world cup 2022,Positive,Positive
Positive,Great first half to start off #world cup 2022,Positive,Positive
Positive,The best decision America made in the past decade was sending @piers morgan back to England #FIFA world cup #world cup 2022,Positive,Positive
Positive,Valencia has been a treat to watch and dubbed an early star of the tournament. It would be a genuine shame if his tournament ends in the 43rd minute #world cup 2022 #Qatar2022 @FEFecuador #FIFA world cup,Strongly Positive,Positive
Positive,"Cheers!
#Qatar2022 #FIFA world cup #Qatar #world cup 2022 ",Positive,Positive
Positive,"After waka waka this will be one of the best #world cup song, #Jungkook did a great job, loved it!
#Jungkook At FIFA world cup #JUNGKOOK x FIFA #Jungkook first Single #Dreamers by Jungkook #Dreamers #world cup 2022 #BTS ARMY #Jungkook_Dreamers",Strongly Positive,Positive
Positive,"Who's ready for the game tomorrow,
#world cup 2022 #its coming home #England",Positive,Positive
Positive,"Abeg who knows this super Sport pigin commentator.
This man is all I needed this evening.
Man is so funny, making the game even more interesting, check out his pigin analysis, man is on fire 
#multi choice
#Super Sport 
#world cup 2022 
#Qatar 2022 
#FIFA world cup 
#dstv",Positive,Positive
Positive,Welcome #world cup 2022 Qatar #FIFA world cup #Qatar #WC2022,Positive,Positive
Positive,Great opener to the World Cup. Qatarâ get them gone! #world cup 2022,Positive,Positive
Positive,"Everybody. JEON JUNGKOOKü 

#world cup 2022 
#Jungkook A tFIFA world cup 
#Jungkook",Neutral,Neutral
Positive,"Even Bafana Bafana was a better host team than this Qatar stokvel disguised as a soccer team.
#world cup 2022 #FIFA world cup",Negative,Negative
Positive,"What an amazing result it will be for Qatar....
Lose all 3 #world cup 2022 games 10 nil but top group.
#Corruption",Strongly Negative,Negative
Positive,"Southern people are the best. Go Equador

#Qatar world cup 2022
#world cup 
#Qatar2022 
#world cup 2022 
#FIFA world cup 2022",Strongly Positive,Positive
Positive,Love it second goal more to come please Ecuador #world cup 2022,Strongly Positive,Positive
Positive,Cant take that one away either 2-0 hehe :) #Ecuador #world cup 2022 #ecu #Ecuador vs Qatar,Neutral,Neutral
Positive,"WHAT A HEADER THAT WAS!!! 

I wish I had put a tenner on him scoring two #FIFA world cup #FIFA world cup 2022 #world cup #world cup 2022 #Ecuador",Strongly Positive,Positive
Positive,"Totally deserved!!! 0-2!! Even though it was a legit hat trick! 

#Qatar2022 #world cup 2022 #Qatar Ecuador",Strongly Positive,Positive
Positive,Enjoying a delicious pot pie and watching the #world cup 2022,Positive,Positive
Positive,"Ecuador double their lead!
And it's a double for Valencia the Ecuadorian captain

#world cup Qatar 2022 #world cup #world cup 2022",Positive,Positive
Positive,WHAT A BRILLIANT GOAL!!!!! #world cup 2022,Strongly Positive,Positive
Positive,Well what a finish from Valencia! #world cup 2022,Positive,Positive
Positive,When the WHOLE family wakes up to watch the World Cup! #winning #world cup 2022,Strongly Positive,Positive
Positive,The #world cup 2022 looks like it's gonna be a lot of fun! I'm rooting for all the teams that are not colonizers,Positive,Positive
Positive,"Watching #Ecuador vs Qatar as Ecuador destroys Qatar is satisfying. 

#world cup #world cup 2022",Positive,Positive
Positive,At least Qatar tried #FIFA world cup #world cup #world cup 2022,Positive,Positive
Positive,"Enner valencia scores again. South american countries are ballers
#world cup 2022
#FIFA world cup",Positive,Positive
Positive,Ooooof what a header 2-0 Ecuadoooooooorrrrrrr #Qatar2022 #world cup 2022,Positive,Positive
Positive,The Qatari football coach's face right  Ecuador on right now. #world cup 2022,Neutral,Neutral
Positive,Big goal. #world cup 2022,Positive,Positive
Positive,Valencia is on fire #world cup 2022 #Qatar2022,Strongly Positive,Positive
Positive,Wow! Come on #Ecuador! #world cup 2022,Strongly Positive,Positive
Positive,"Hello, #world cup 2022!",Neutral,Neutral
Positive,"Ecuadorians celebrate their first goal against host nation, Qatar. Incredible penalty shoot by Valencia! #Qatar 2022 #MGL Qatar 2022 #world cup 2022 #FIFA world cup",Strongly Positive,Positive
Positive,Offside technology at Qatar is excellent for taken that offside !!#world cup 2022,Strongly Positive,Positive
Positive,"So in a weird World Cup twist, I've pulled England in the sweepstake (lord help me) and John has pulled France! (I smell a rat) I never thought I'd be cheering on your lads, but I'm competitive so let's do this!ü #world cup 2022",Strongly Positive,Positive
Positive,Love World Cup! 4 years ago the matches were excellent and I watched almost every one. I hope this year can replicate that! #world cup 2022,Strongly Positive,Positive
Positive,"This Qatar team is pure comedyâ
#world cup 2022",Positive,Positive
Positive,"Football fans wave Palestinian flags, sing songs of solidarity ahead of #world cup 2022 #Qatar2022  ",Positive,Positive
Positive,"Enner Valencia scores the first goal of the 2022 World Cup
My good friends at Cheers Lodge Nakuru are very happy with me because they are enjoying this game.
#world cup 2022 
",Positive,Positive
Positive,"Here are my final predictions for the World Cup 2022!

Argentina will win the World Cup!
My second favourites to win the World Cup are Germany.

It will one of these two countries but my final pick is Argentina!

#FIFA world cup #FIFA world cup 2022 #world cup 2022",Neutral,Neutral
Positive,Qatar keeper is comedy gold! #world cup 2022,Negative,Negative
Positive,Even tho its Qatar. Ecuador are playing well. #world cup 2022,Positive,Positive
Positive,Ecuador 1 - 0 Qatar. It has finally begun punks... Game on!  #world cup 2022 #FIFA world cup #Qatar2022,Positive,Positive
Positive,"Let's go! #world cup 2022 first match!
QAT vs ECU",Positive,Positive
Positive,Clear Penalty for Ecuador good call by the referee #world cup 2022 #FIFA world cup 2022,Positive,Positive
Positive,"ENNER VALENCIA ONE MAN SHOW! 

GOAT AMK #world cup 2022",Positive,Positive
Positive,"That was a lovely penalty. 
#QATECU #world cup 2022",Positive,Positive
Positive,Football's back #world cup 2022,Positive,Positive
Positive,Ball game nice thus far #FIFA world cup #world cup 2022,Positive,Positive
Positive,"We're Good.
Qatar0-1 Ecuador
#world cup 2022",Positive,Positive
Positive,Some kind of justice just got served!ü #Qatar2022 #Ecuador #world cup 2022,Positive,Positive
Positive,Woot woot!! Technically it's 2-0. I'm still counting the first goal. #world cup 2022,Positive,Positive
Positive,Qatar keeper having a great game so far. #world cup 2022,Strongly Positive,Positive
Positive,"Goal AGAIN
#world cup 2022",Positive,Positive
Positive,GOAT ENNER VALENCA #world cup 2022,Strongly Positive,Positive
Positive,"Y'all, this game is wild. #Ecuador vs Qatar #world cup 2022",Positive,Positive
Positive,#world cup 2022 let's we got our first penalty of the tourney!!!,Positive,Positive
Positive,"Been binge listening to this  great series, timely and informative.

Don't you dare forget those >6,500 dead migrant workers when watching athletes perform in the stadiums so many paid with their lives to build.
#WorldCorrupt
#world cup 2022",Strongly Negative,Negative
Positive,Grazie Orsato. So nice of FIFA to be considerate and make sure we all get Serie A refereeing despite the international break. #world cup 2022,Strongly Positive,Positive
Positive,first game started #world cup 2022,Neutral,Neutral
Positive,"The families of the Ecuador players have just survived that ""mistake"" of a goal ... phew.  

Thankfully for them it is an Italian official in Qatar. #world cup 2022",Neutral,Neutral
Positive,"The World Cup in UHD. Very nice.

Too bad Qatar is such a poor team.

#FIFA world cup #world cup 2022",Negative,Negative
Positive,"And the #world cup 2022 starts #Qatar 2022 Supporting #Ecu for this game because of my friends. 
Let's go  #Qatar vs Ecuador",Positive,Positive
Positive,"Perfectly good goal, disallowed for 
allowing a brown paper bag filled with $100,000 into the VAR room (This post is satire for the context confused bots  and social media Draconian, police) #Qatar world cup 2022 #Qatar #fifaâ #VAR #Ecuador #world cup 2022",Negative,Negative
Positive,"World Cup + #Qatar Team WIN the Cup



#MEXC world cup01 #world cup 2022",Positive,Positive
Positive,Congratulations on Qatar on winning the world cup! #world cup 2022,Positive,Positive
Positive,So happy its finally here #world cup 2022,Positive,Positive
Positive,Strong Crap 90s Football vibes on that first goal. So much for those 12 years of prep and as I write this it's brought back for offsides the fix is in!! #world cup 2022,Negative,Negative
Positive,Qatar paying off everybody #world cup 2022,Negative,Negative
Positive,"Amazing messages in the celebration express identity, challenges and solidarity 
#FIFA world cup 2022 qatar #world cup 2022 
#Love #Peace",Strongly Positive,Positive
Positive,"OHHHHHHHH YESSSSSSSSSS HERE WE GO!!!' 

Back in April I came down with virus that took over the world, now I've come down with a fever that has taken over the world.

WORLD CUP FEVER!!!  #FIFA world cup #FIFA world cup 2022 #world cup #world cup 2022",Strongly Positive,Positive
Positive,"I've been waiting 4,5 years for this!!!

#world cup #world cup 2022",Positive,Positive
Positive,Ah so it's one of those tournaments hahah #world cup 2022,Neutral,Neutral
Positive,Yeah no corruption going on here......  #world cup 2022,Negative,Negative
Positive,Rigged!!! #world cup 2022,Negative,Negative
Positive,"That money keeps on giving for Qatar!

#qatecu #world cup 2022",Positive,Positive
Positive,FIFA world cup and the corruption starts!! that was a perfectly good goal! @BBC Sport #BBC Football #world cup 2022,Negative,Negative
Positive,Roboooo. #world cup 2022,Neutral,Neutral
Positive,Steups! #world cup 2022,Neutral,Neutral
Positive,"But, the goal doesn't count as Ecuador was ruled offside! It's going to be an exciting tournament! #world cup 2022",Positive,Positive
Positive,"Wow, proof that money talks #world cup 2022",Negative,Negative
Positive,wow what a start what a drama #world cup 2022,Strongly Positive,Positive
Positive,It's fixed already #world cup 2022 #world cupQatar2022,Strongly Negative,Negative
Positive,"Who will win the #world cup?

Nobody knows, but we will monitor from above with our #Copernicus Sentinels!

May the best team win!



#Qatar world cup 2022 #world cup 2022 #world cup Qatar2022",Negative,Negative
Positive,That was a great goal by Ecuador #world cup 2022,Positive,Positive
Positive,"#world cup 2022
Supporters cheer  ahead of the Qatar 2022 World Cup Group A football match between #Qatar and #Ecuador
 

#AFP
#Qatar2022
#FIFA world cup",Positive,Positive
Positive,World Cup high has begun #world cup 2022,Positive,Positive
Positive,first game of the world cup with all three of my girls and the nephew too.. #Footy family #world cup 2022,Positive,Positive
Positive,"What a start .

#world cup 2022",Positive,Positive
Positive,"Get in!! Enner Valencia ! It was coming ! 3mins , Ecuador goal !! Qatar World Cup #world cup 2022",Positive,Positive
Positive,Today we are all rooting for Ecuador! #world cup 2022,Positive,Positive
Positive,That didn't take long what a start #world cup 2022,Positive,Positive
Positive,"Ecuador score the first goal of the tournament!

#world cup Qatar2022 #world cup #world cup 2022",Neutral,Neutral
Positive,Good luck #Qatar for hosting the #world cup 2022,Positive,Positive
Positive,Ah Brazil nu dem win the World Cup anaaa #world cup 2022 #world cup,Positive,Positive
Positive,will be in the Mecca for the next 3 days of #world cup 2022 action. We love Ecuador +130 ML. Good luck to all. #FIFA world cup 2022 #Qatar world cup 2022 #Qatar2022,Strongly Positive,Positive
Positive,Sublime defending to start the tournament #world cup 2022,Strongly Positive,Positive
Positive,"I'm with you, Gabriel. If I were into the sport, I'd do the same. And like you, for many reasons.

Real-world issues matter more than sports. Any sport, any event.

#world cup #world cup 2022 #world cupQatar2022 https://t.co/mYXEL9x759",Strongly Negative,Negative
Positive,Goaaaaaaaattttttt #world cup 2022,Strongly Positive,Positive
Positive,"Beautiful 
#world cup 2022 
#I love Qatar
#Super Sport",Strongly Positive,Positive
Positive,"So it Begins!!

#world cup 2022",Neutral,Neutral
Positive,Qatari players have some serious rugby skills. #world cup 2022,Positive,Positive
Positive,"Y'all it's finally here!!
#Qatar world cup 2022 #world cup #world cup 2022 ",Positive,Positive
Positive,"The Opening Ceremony was a pleasure to see...and the most important thing was that the monologue was by the GOD - Morgan Freeman

#world cup 2022 #FIFA world cup",Positive,Positive
Positive,#Ecuador for the win #world cup 2022,Neutral,Neutral
Positive,Let's go! #world cup 2022,Neutral,Neutral
Positive,"
Good luck everyone!
#world cup Fantasy #world cup 2022",Positive,Positive
Positive,Comecoooouu!!!!#Qatar world cup 2022 #Qatar2022 #world cup #world cup 2022,Positive,Positive
Positive,"Let's do this !! 
#world cup 2022 
#Qatar world cup 2022 
#Qatar vs Ecuador",Positive,Positive
Positive,"#MD1 Last minute subs 
Gallindez in
Miguel in
Plata in
Antony in
Cap Kane then we will see
12th Man Messi
Hope we can enjoy the football #world cup Fantasy  #world cup 2022",Positive,Positive
Positive,"Well, here we go. Some football!

#world cup 2022",Positive,Positive
Positive,Game time. Let's gooooo #world cup 2022,Positive,Positive
Positive,"World Cup fantasy MD

Mbappe twelveth 12th man


Good luck everyone!
#world cup 2022 #world cupFantasy ",Positive,Positive
Positive,HERE. WE. GO!  #world cup 2022,Positive,Positive
Positive,"Back to back all matches jackpot cleansweep

Channel link

#Dream 11 #dream 11 #dream 11 team #world cup 2022 #Cricket #football #ViratKohli  #telegram channel #prokabaddi #basketball #Champions League #small league #Laliga #Premier League #BBL ",Neutral,Neutral
Positive,Let's go! #world cup 2022,Positive,Positive
Positive,"It's #world cup 2022 time! Qatar v Ecuador to get it all going. Settle in, we've got weeks of action getting underway now.",Neutral,Neutral
Positive,Biggest Sports event is Going to start #FIFA world cup #Qatar world cup 2022 #world cup 2022 ,Positive,Positive
Positive,What a performanceü #world cup 2022 #FIFA world cup #Qatar 2022,Positive,Positive
Positive,Let's gooooOoooo #world cup 2022,Positive,Positive
Positive,Let the games begin #world cup 2022 #world cup,Positive,Positive
Positive,The WORLD CUP is here #world cup 2022,Positive,Positive
Positive,"Here we go

#Qatar Vs #Equador ..... Live!
(Not easy to tweet wt dz noises)

#Happy Sunday guys....

#Qatar world cup 2022 #Qatar 2022 
#world cup Qatar 2022 #world cup 
#world cup 2022 #World #footy",Positive,Positive
Positive,"Tactics, player previews, strengths/weaknesses.

If you're a football fan, my latest World Cup article is a must-read.


#world cup #world cup 2022 #Qatar world cup 2022 #Qatar2022",Neutral,Neutral
Positive,Time for the #world cup 2022 boys!,Positive,Positive
Positive,"Penalty to Qatar already!
Unbelievable and we've not even kicked off yet #world cup 2022",Negative,Negative
Positive,"And this is only a member of 
#Qatar world cup 2022 #FIFA world cup #world cup 2022 #FIFA world cup 2022 #JUNGKOOK #JungkookInQatar @FIFA world cup",Neutral,Neutral
Positive,#world cup 2022 Qatar going to win the match,Positive,Positive
Positive,Ecuador come on let's goooooooo! #world cup 2022,Positive,Positive
Positive,World Cup begins!!! I'm gonna be occupied for the next few weeks #world cup 2022,Positive,Positive
Positive,Nice. #world cup 2022,Positive,Positive
Positive,"We begin the 2022 #FIFA world cup in #Qatar on Sunday November 20, 2022. #Making History #Congratulations #world cup 2022 #world cup Qatar 2022 #Qatar 2022 ",Strongly Positive,Positive
Positive,"#world cup 2022 let's go!

As always, go #DieMannschaft",Strongly Positive,Positive
Positive,"Wishing #Qatar all the best in this match & their #world cup 2022 campaign, but #Ecuador looks a stronger team. ",Strongly Positive,Positive
Positive,It's finally here. #world cup 2022,Positive,Positive
Positive,64 SuperBowls in 29 days #world cup 2022,Positive,Positive
Positive,Everyone ready for #world cup 2022,Positive,Positive
Positive,I've got Ecuador winning and making it out of the Group..don't disappoint #world cup 2022,Positive,Positive
Positive,All I hope is that we don't lose 7x1 to anybody this time. That's a win in my book. Go @CBF_Futebol #world cup 2022,Positive,Positive
